Dealer,Make,Month,Brand,Consolidation,Categoria,No. of Units
Real Auto,TOYOTA,Nov-11,Yaris,Yaris,Automovil,1.00
Real Auto,TOYOTA,Nov-11,Corolla SD,Corolla SD,Automovil,12.00
Real Auto,TOYOTA,Nov-11,Rav 4,Rav 4,Automovil,1.00
Real Auto,TOYOTA,Nov-11,Hiace,Hiace,Automovil,1.00
Real Auto,MMC,Nov-11,L-200,L-200,Automovil,1.00
Real Auto,MMC,Nov-11,ASX,ASX,Automovil,1.00
Real Auto,GM,Dec-11,Spark,Spark,Automovil,2.00
Real Auto,GM,Dec-11,Aveo,Aveo,Automovil,1.00
Real Auto,GM,Dec-11,MALIBU,MALIBU,Automovil,1.00
Real Auto,GM,Dec-11,CRUZE ,CRUZE ,Automovil,2.00
Real Auto,SUZUKI,Dec-11,SWIFT,SWIFT,Automovil,6.00
Real Auto,SUZUKI,Dec-11,SX4,SX4,Automovil,4.00
Real Auto,SUZUKI,Dec-11,JIMNY,JIMNY,Automovil,2.00
Real Auto,SUZUKI,Dec-11,Grand Vitara,Grand Vitara,Automovil,5.00
Real Auto,SUZUKI,Dec-11,Grand Vitara,Grand Vitara,Automovil,5.00
Real Auto,SUZUKI,Dec-11,APV,APV,Automovil,5.00
Real Auto,SUZUKI,Dec-11,APV,APV,Automovil,5.00
Real Auto,SUZUKI,Dec-11,APV,APV,Automovil,1.00
Real Auto,TOYOTA,Dec-11,Yaris,Yaris,Automovil,11.00
Real Auto,TOYOTA,Dec-11,Yaris,Yaris,Automovil,53.00
Real Auto,TOYOTA,Dec-11,Corolla SD,Corolla SD,Automovil,10.00
Real Auto,TOYOTA,Dec-11,Rav 4,Rav 4,Automovil,13.00
Real Auto,TOYOTA,Dec-11,Hiace,Hiace,Automovil,2.00
Real Auto,TOYOTA,Dec-11,Hiace,Hiace,Automovil,2.00
Real Auto,TOYOTA,Dec-11,Hilux,Hilux,Automovil,1.00
Real Auto,TOYOTA,Dec-11,Hilux,Hilux,Automovil,2.00
Real Auto,MMC,Dec-11,L-200,L-200,Automovil,1.00
Real Auto,MMC,Dec-11,L-300,L-300,Automovil,2.00
Real Auto,MMC,Dec-11,ASX,ASX,Automovil,3.00
Motorworld,HYUNDAI,Jan-12,i10,i10,Automovil,12.00
REAL AUTO,TOYOTA,Jan-12,4 Runner,4 Runner,Compact Cars,1.00
Motorworld,HYUNDAI,Jan-12,Accent,Accent,Automovil,21.00
REAL AUTO,SUZUKI,Jan-12,APV,APV,Automovil,7.00
REAL AUTO,MMC,Jan-12,ASX,ASX,Automovil,1.00
REAL AUTO,GM,Jan-12,Aveo,Aveo,Automovil,2.00
Motorworld,HYUNDAI,Jan-12,Azera,Azera,Automovil,1.00
Motorworld,DODGE,Jan-12,Caravan,Caravan,Automovil,2.00
Motorworld,JEEP,Jan-12,Cherokee,Cherokee,Automovil,1.00
REAL AUTO,GM,Jan-12,Cmp Van,Cmp Van,Automovil,2.00
REAL AUTO,GM,Jan-12,Colorado DC,Colorado DC,Automovil,2.00
BMW,Mini,Jan-12,Cooper,Cooper,Automovil,2.00
REAL AUTO,TOYOTA,Jan-12,Corolla SD,Corolla SD,Automovil,5.00
Motorworld,HYUNDAI,Jan-12,County Bus,County Bus,Automovil,1.00
St Martin Cars,Dacia,Jan-12,Duster,Duster,Large SUV,1.00
CARIBBEAN AUTO,FORD,Jan-12,Edge,Edge,Automovil,4.00
Motorworld,HYUNDAI,Jan-12,Elantra,Elantra,Automovil,15.00
CARIBBEAN AUTO,FORD,Jan-12,Escape,Escape,Automovil,3.00
CARIBBEAN AUTO,FORD,Jan-12,Explorer,Explorer,Automovil,4.00
CARIBBEAN AUTO,FORD,Jan-12,Fiesta,Fiesta,Automovil,2.00
St Martin Cars,Nissan,Jan-12,Frontier,Frontier,Pick-Up,1.00
CARIBBEAN AUTO,FORD,Jan-12,Fusion,Fusion,Automovil,2.00
REAL AUTO,TOYOTA,Jan-12,Hiace,Hiace,Automovil,5.00
REAL AUTO,TOYOTA,Jan-12,Hilux,Hilux,Automovil,1.00
Motorworld,HYUNDAI,Jan-12,i20,i20,Automovil,6.00
REAL AUTO,SUZUKI,Jan-12,Jimny,Jimny,Automovil,5.00
Soremar,Kia,Jan-12,K Truck,K Truck,Automovil,2.00
St Martin Cars,Dacia,Jan-12,Logan,Logan,Automovil,6.00
St Martin Cars,Nissan,Jan-12,March,March,Subcompact Cars,12.00
CARIBBEAN AUTO,MAZDA,Jan-12,Mazda 3,Mazda 3,Automovil,1.00
CARIBBEAN AUTO,LINCOLN,Jan-12,MKX,MKX,Automovil,2.00
CARIBBEAN AUTO,FORD,Jan-12,Mustang,Mustang,Automovil,1.00
St Martin Cars,Nissan,Jan-12,Navara,Navara,Full Size,2.00
Soremar,Kia,Jan-12,Picanto,Picanto,Automovil,5.00
CARIBBEAN AUTO,VOLKSWAGEN,Jan-12,Polo,Polo,Automovil,1.00
St Martin Cars,Nissan,Jan-12,Qashqai,Qashqai,Midsize Cars,3.00
CARIBBEAN AUTO,FORD,Jan-12,Ranger,Ranger,Automovil,4.00
REAL AUTO,TOYOTA,Jan-12,Rav 4,Rav 4,Automovil,2.00
Soremar,Kia,Jan-12,Rio,Rio,Automovil,8.00
Soremar,Kia,Jan-12,Sorento,Sorento,Automovil,1.00
Soremar,Kia,Jan-12,Soul,Soul,Automovil,2.00
REAL AUTO,GM,Jan-12,Spark,Spark,Automovil,1.00
Soremar,Kia,Jan-12,Sportage,Sportage,Automovil,1.00
St Martin Cars,Dacia,Jan-12,Stepway,Stepway,Midsize SUV,2.00
REAL AUTO,SUZUKI,Jan-12,Swift,Swift,Automovil,4.00
REAL AUTO,SUZUKI,Jan-12,SX4,SX4,Automovil,2.00
REAL AUTO,GM,Jan-12,Tahoe,Tahoe,Automovil,1.00
CARIBBEAN AUTO,VOLKSWAGEN,Jan-12,Tiguan,Tiguan,Automovil,2.00
St Martin Cars,Nissan,Jan-12,Tiida,Tiida,Automovil,3.00
Motorworld,HYUNDAI,Jan-12,Tucson,Tucson,Automovil,6.00
St Martin Cars,Nissan,Jan-12,Urvan,Urvan,Commercial Truck,3.00
REAL AUTO,SUZUKI,Jan-12,Vitara,Vitara,Automovil,4.00
Motorworld,JEEP,Jan-12,Wrangler,Wrangler,Automovil,4.00
BMW,BMW,Jan-12,X3,X3,Automovil,4.00
St Martin Cars,Nissan,Jan-12,X-Trail,X-Trail,Special Cars,5.00
REAL AUTO,TOYOTA,Jan-12,Yaris,Yaris,Automovil,1.00
Motorworld,HYUNDAI,Jan-13,i10,i10,Automovil,16.00
Motorworld,HYUNDAI,Jan-13,Accent,Accent,Automovil,16.00
St Martin Cars,Nissan,Jan-13,Almera,Almera,Automovil,1.00
REAL AUTO,MMC,Jan-13,ASX,ASX,Automovil,2.00
REAL AUTO,GM,Jan-13,Aveo,Aveo,Automovil,1.00
REAL AUTO,GM,Jan-13,Cmp Van,Cmp Van,Automovil,3.00
Motorworld,HYUNDAI,Jan-13,County Bus,County Bus,Automovil,1.00
Motorworld,HONDA,Jan-13,CRV,CRV,Automovil,4.00
CARIBBEAN AUTO,FORD,Jan-13,Edge,Edge,Automovil,4.00
Motorworld,HYUNDAI,Jan-13,Elantra,Elantra,Automovil,4.00
REAL AUTO,SUZUKI,Jan-13,Ertiga,Ertiga,Automovil,1.00
CARIBBEAN AUTO,FORD,Jan-13,Escape,Escape,Automovil,4.00
CARIBBEAN AUTO,FORD,Jan-13,Explorer,Explorer,Automovil,2.00
St Martin Cars,Nissan,Jan-13,Frontier,Frontier,Pick-Up,3.00
Motorworld,JEEP,Jan-13,Grand Cherokee,Grand Cherokee,Automovil,1.00
Motorworld,HYUNDAI,Jan-13,H1 Bus/Van,H1 Bus/Van,Automovil,4.00
Motorworld,HYUNDAI,Jan-13,H100 Truck,H100 Truck,Automovil,2.00
Motorworld,HYUNDAI,Jan-13,HD 45,HD 45,Automovil,1.00
Motorworld,HYUNDAI,Jan-13,HD 72,HD 72,Automovil,1.00
Motorworld,HYUNDAI,Jan-13,i20,i20,Automovil,7.00
Motorworld,HYUNDAI,Jan-13,i30,i30,Automovil,3.00
REAL AUTO,SUZUKI,Jan-13,Jimny,Jimny,Automovil,2.00
Soremar,Kia,Jan-13,K Truck,K Truck,Automovil,1.00
St Martin Cars,Dacia,Jan-13,Lodgy,Lodgy,Automovil,1.00
St Martin Cars,Dacia,Jan-13,Logan,Logan,Automovil,3.00
St Martin Cars,Nissan,Jan-13,March,March,Subcompact Cars,8.00
CARIBBEAN AUTO,FORD,Jan-13,Mustang,Mustang,Automovil,1.00
St Martin Cars,Nissan,Jan-13,Navara,Navara,Full Size,1.00
Soremar,Kia,Jan-13,Picanto,Picanto,Automovil,15.00
REAL AUTO,TOYOTA,Jan-13,Prado,Prado,Automovil,1.00
St Martin Cars,Nissan,Jan-13,Qashqai,Qashqai,Midsize Cars,2.00
CARIBBEAN AUTO,FORD,Jan-13,Ranger,Ranger,Automovil,2.00
REAL AUTO,TOYOTA,Jan-13,Rav 4,Rav 4,Automovil,2.00
Motorworld,HONDA,Jan-13,Ridgeline,Ridgeline,Automovil,1.00
Soremar,Kia,Jan-13,Rio,Rio,Automovil,6.00
St Martin Cars,Dacia,Jan-13,Sandero,Sandero,Automovil,2.00
St Martin Cars,Nissan,Jan-13,Sentra,Sentra,Luxury SUV,1.00
REAL AUTO,GM,Jan-13,Sonic,Sonic,Automovil,6.00
Soremar,Kia,Jan-13,Sportage,Sportage,Automovil,2.00
St Martin Cars,Dacia,Jan-13,Stepway,Stepway,Midsize SUV,4.00
REAL AUTO,SUZUKI,Jan-13,Swift,Swift,Automovil,5.00
REAL AUTO,SUZUKI,Jan-13,SX4,SX4,Automovil,1.00
REAL AUTO,GM,Jan-13,Tahoe,Tahoe,Automovil,1.00
CARIBBEAN AUTO,FORD,Jan-13,Taurus,Taurus,Automovil,1.00
CARIBBEAN AUTO,VOLKSWAGEN,Jan-13,Tiguan,Tiguan,Automovil,1.00
St Martin Cars,Nissan,Jan-13,Tiida,Tiida,Automovil,1.00
CARIBBEAN AUTO,VOLKSWAGEN,Jan-13,Touareg,Touareg,Automovil,1.00
REAL AUTO,GM,Jan-13,Traverse,Traverse,Automovil,1.00
Motorworld,HYUNDAI,Jan-13,Tucson,Tucson,Automovil,31.00
St Martin Cars,Renault,Jan-13,Twingo,Twingo,Automovil,2.00
St Martin Cars,Nissan,Jan-13,Urvan,Urvan,Commercial Truck,2.00
REAL AUTO,SUZUKI,Jan-13,Vitara,Vitara,Automovil,2.00
BMW,BMW,Jan-13,X1,X1,Automovil,1.00
